"Marca temporal","¿Cuál es tu rango de edad?","¿Cuál es tu rango de ingreso mensual?","¿Cuántas aplicaciones bancarias o financieras utilizas activamente?","¿Conoces qué es una fintech?","¿Qué tipo de instituciones financiera utilizas con mayor frecuencia?","¿Cuáles Fintechs utilizas? (Selección múltiple)","Si utilizas fintechs, ¿qué te preocupa de usarlas? (Selección múltiple)","¿Dirías que prefieres Fintechs sobre Bancos tradicionales?","Si la anterior pregunta fue que tienes usos diferentes para Fintechs y Bancos Tradicionales responde que usos si no, escribe NA. ","Si has utilizado tanto Fintechs como bancos tradicionales, ¿qué factor influyó MÁS en tu preferencia?","¿Qué tan difícil te resulta completar una transacción típica (transferencia, pago de servicio) en tu app bancaria principal?","Pensando en la última vez que usaste tu app bancaria, ¿qué fue lo que más te FRUSTRÓ? (Selección múltiple)","Y ¿qué fue lo que más te GUSTÓ? (Selección múltiple)","Cuando tienes un problema con tu banco, ¿qué tipo de atención prefieres?","¿Qué tanto confías en tu institución financiera principal para manejar tu dinero y datos personales?","¿Has tenido alguna vez una preocupación de seguridad con una institución financiera? Si fue así, ¿qué la causó? (Selección múltiple)","¿Cuál es tu banco principal?","¿Qué te haría cambiar de banco? (Selección múltiple)","¿Qué tipo de beneficios valoras más de tu banco? (Selección múltiple, máximo 3)","¿Qué tan importante es para ti tener acceso fácil a sucursales físicas?"
"2026/05/02 9:32:50 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","1","No","Banca tradicional","Ninguno","No lo conozco, por lo tanto no podría contestar. ","No","NA","No aplica ","1","Nada me frustró","Diseño y facilidad de uso","Depende del tipo de problema","5","No he tenido ningún problema","BBVA","Comisiones más bajas;Recompensas más atractivas;Mejores tasas","Puntos canjeables;Descuentos en comercios;Tasas de rendimiento","5"
"2026/05/02 9:44:06 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","Si","Ambos","Nu (Nu Bank)","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Banco tradicional para gastos en general y Nu lo ocupo para guardar mi dinero en y ahorrar para que crezca en una cajita.","Confianza institucional","1","Tiempos de carga","Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","5","No he tenido ningún problema","BBVA","Recomendación cercana;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Descuentos en comercios;Tasas de rendimiento","3"
"2026/05/02 9:57:17 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","No","Banca tradicional","Nu (Nu Bank)","Ninguna","No","NA","Rápidez","3","Errores o caídas","Diseño y facilidad de uso","Atención humana","4","App o web insegura","Inbursa","Mejor app","Puntos canjeables;Beneficios de viaje","4"
"2026/05/02 11:12:56 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","Si","Ambos","Revolut ","Seguridad de mi dinero;Falta de sucursales físicas;Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Lo banco tradicional lo ocupo para hacer transferencias normalmente y pagar todo lo que ocupe el dia a día. Mientras que Revolut lo ocupo para guardar mi dinero, ver el tipo de cambio y hacer gestión sobre los ahorros que voy metiendo.","Recompensas","2","Soporte difícil de contactar","Velocidad;Diseño y facilidad de uso","Atención humana","4","Fraude o cargo no autorizado","Santander","Mejor atención;Recomendación cercana;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Beneficios de viaje;Sin comisiones","4"
"2026/05/02 11:52:32 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Ninguna","No","NA","No lo he hecho ","1","Problemas en la actualización de estados financieros ","Velocidad;Diseño y facilidad de uso;Seguridad (biometría, alertas);Recompensas o cashback","Depende del tipo de problema","3","Mal soporte ante un problema","BBVA","Mejores tasas","Puntos canjeables;Tasas de rendimiento","2"
"2026/05/03 12:03:56 a.m. GMT-6","18-25","$10,000MXN–$20,000MXN","1","Si","Ambos","Nu (Nu Bank)","Soporte limitado;Riesgo tecnológico (caídas, hackeos)","Si","NA","Rápidez","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Recompensas o cashback","Atención humana","2","No he tenido ningún problema","BBVA","Mejor app;Mejor atención;Mejores tasas;Mala experiencia con mi banco actual","Tasas de rendimiento","2"
"2026/05/03 7:51:54 a.m. GMT-6","18-25","Menos de $10,000 MXN","1","Si","Banca tradicional","Nu (Nu Bank)","Ninguna","No","NA","Comisiones bajas","1","Nada me frustró","Velocidad","Atención humana","4","Fuga o uso indebido de datos","BBVA","Recompensas más atractivas;Mala experiencia con mi banco actual","Sin comisiones;Tasas de rendimiento","2"
"2026/05/03 10:09:07 a.m. GMT-6","18-25","Menos de $10,000 MXN","1","Si","Banca tradicional","Ninguno","Seguridad de mi dinero","No","NA","Confianza institucional","2","Tiempos de carga;Procesos con muchos pasos","Diseño y facilidad de uso","Atención humana","4","No he tenido ningún problema","Banamex","Comisiones más bajas;Recomendación cercana;Mala experiencia con mi banco actual","Sin comisiones","5"
"2026/05/03 10:09:56 a.m. GMT-6","18-25","Menos de $10,000 MXN","3","Si","Ambos","Nu (Nu Bank)","Soporte limitado","Tengo usos diferentes para Fintechs y Bancos Tradicionales","atributos de ahorro y promociones de fintechs, seguridad y nomina banca tradicional.","Recompensas","2","Tiempos de carga","Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","4","Mal soporte ante un problema","BBVA","Recompensas más atractivas;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Sin comisiones;Tasas de rendimiento","2"
"2026/05/03 1:47:00 p.m. GMT-6","18-25","$20,000MXN–$50,000MXN","3","Si","Fintechs","Nu (Nu Bank);Mercado pago","Falta de sucursales físicas;Riesgo tecnológico (caídas, hackeos)","Si","NA","Recompensas","1","Tiempos de carga;Login o autenticación","Seguridad (biometría, alertas)","Depende del tipo de problema","4","Mal soporte ante un problema","Santander","Mejor atención;Recompensas más atractivas","Cashback;Sin comisiones","5"
"2026/05/03 2:16:41 p.m. GMT-6","18-25","Prefiero no decir","1","No","Banca tradicional","Ninguno","Ninguna","No","Na","No uso fintechs","4","Procesos con muchos pasos","Seguridad (biometría, alertas)","Depende del tipo de problema","3","No he tenido ningún problema","BBVA","Recompensas más atractivas;Mala experiencia con mi banco actual","Cashback;Puntos canjeables","5"
"2026/05/03 2:21:42 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Ambos","Nu (Nu Bank);Mercado pago;Spin by Oxxo","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","No","NA","Rápidez","1","Errores o caídas;Difícil encontrar funciones","Notificaciones útiles;Recompensas o cashback","Depende del tipo de problema","5","No he tenido ningún problema","Santander","Recompensas más atractivas;Recomendación cercana;Mala experiencia con mi banco actual","Cashback;Sin comisiones","5"
"2026/05/04 12:40:42 a.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","NA","Na","2","Errores o caídas","Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","5","No he tenido ningún problema","Banjercito ","Mejor app","Ninguno","3"
"2026/05/04 11:43:06 a.m. GMT-6","26-40","$20,000MXN–$50,000MXN","2","No","Banca tradicional","Ninguno","Ninguna","No","NA","Confianza institucional","1","Tiempos de carga;Procesos con muchos pasos","Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles","Atención humana","4","No he tenido ningún problema","BBVA","Mejor atención;Recompensas más atractivas;Recomendación cercana","Cashback;Sin comisiones","5"
"2026/05/04 11:45:24 a.m. GMT-6","26-40","$20,000MXN–$50,000MXN","4 o más","Si","Banca tradicional","Mercado pago;Broxel, Binance y Revolut","Soporte limitado;Riesgo tecnológico (caídas, hackeos)","No","na","Confianza institucional","1","Procesos con muchos pasos;Difícil encontrar funciones;Soporte difícil de contactar","Funciones disponibles","Atención humana","5","Fuga o uso indebido de datos","Santander","Mala experiencia con mi banco actual","Seguridad y credibilidad","5"
"2026/05/04 12:10:31 p.m. GMT-6","56+","Más de $50,000MXN","4 o más","No","Banca tradicional","Ninguno","Ninguna","No","NA.","Confianza institucional","3","Tiempos de carga","Seguridad (biometría, alertas)","Atención humana","4","Fraude o cargo no autorizado","Santander","Recompensas más atractivas","Sin comisiones","5"
"2026/05/04 4:39:38 p.m. GMT-6","41-55","$20,000MXN–$50,000MXN","2","He escuchado el término pero no estoy seguro","Ambos","Mercado pago","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","No","Na","Rápidez","1","Errores o caídas","Nada en particular","Atención humana","4","No he tenido ningún problema","BBVA","Mejor app;Mejores tasas","Ninguno","3"
"2026/05/04 5:05:59 p.m. GMT-6","56+","$20,000MXN–$50,000MXN","1","No","Banca tradicional","Ninguno","Falta de sucursales físicas;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Experiencia","1","Nada me frustró","Diseño y facilidad de uso","Depende del tipo de problema","5","No he tenido ningún problema","Santander","Recompensas más atractivas;Mejores tasas;Mala experiencia con mi banco actual","Ninguno","5"
"2026/05/04 8:11:36 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","Si","Banca tradicional","Ninguno","Ninguna","No","NA","Comisiones bajas","2","Tiempos de carga;Procesos con muchos pasos","Funciones disponibles;Seguridad (biometría, alertas)","Asistente AI o chatbot","5","No he tenido ningún problema","BBVA","Mejor app;Recompensas más atractivas;Recomendación cercana;Mejores tasas","Sin comisiones","5"
"2026/05/04 8:11:47 p.m. GMT-6","41-55","Más de $50,000MXN","4 o más","Si","Banca tradicional","Ninguno","Ninguna","No","NA","He usado SOFOMES ","1","Nada me frustró","Velocidad","Atención humana","5","Fraude o cargo no autorizado","BBVA","Comisiones más bajas","Sin comisiones","5"
"2026/05/04 8:13:27 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","No","Banca tradicional","Ninguno","Seguridad de mi dinero","No","NA","Atención al cliente","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles","Atención humana","4","No he tenido ningún problema","BBVA","Comisiones más bajas;Recompensas más atractivas","Cashback;Sin comisiones","5"
"2026/05/04 8:14:34 p.m. GMT-6","41-55","Prefiero no decir","1","No","Banca tradicional","Ninguno","Seguridad de mi dinero","No","NA","Nada","1","Nada me frustró","Velocidad","Atención humana","5","No he tenido ningún problema","Santander","Comisiones más bajas;Mejores tasas","Ninguno","5"
"2026/05/04 8:22:08 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","No","Banca tradicional","Ninguno","Ninguna","No","na","Que sea fácil de usar la app y que sea de confianza. Y la atención al cliente.","1","Anuncio","Velocidad;Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","3","Fraude o cargo no autorizado","Banorte","Mala experiencia con mi banco actual","El trato que me dan","5"
"2026/05/04 8:22:45 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","Si","Fintechs","Nu (Nu Bank)","Ninguna","Si","NA","Rápidez","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Notificaciones útiles;Seguridad (biometría, alertas)","Depende del tipo de problema","5","Fraude o cargo no autorizado","Nu","Nada","Ninguno","1"
"2026/05/04 8:23:18 p.m. GMT-6","26-40","$10,000MXN–$20,000MXN","3","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero;Soporte limitado;Riesgo tecnológico (caídas, hackeos)","No","NA","Experiencia","3","Difícil encontrar funciones;Login o autenticación","Velocidad;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","BBVA","Recompensas más atractivas;Mejores tasas","Puntos canjeables","4"
"2026/05/04 8:23:21 p.m. GMT-6","26-40","$10,000MXN–$20,000MXN","1","Si","Banca tradicional","Ninguna","Ninguna","No","NA","NA","2","Tiempos de carga;Difícil encontrar funciones","Seguridad (biometría, alertas)","Atención humana","4","Fraude o cargo no autorizado","BBVA","Recompensas más atractivas;Mala experiencia con mi banco actual","Ninguno","5"
"2026/05/04 8:23:22 p.m. GMT-6","56+","Más de $50,000MXN","4 o más","Si","Ambos","Clupp, sxkm","Soporte limitado","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Ahorro, inversión vs servicios","Prueba","1","Errores o caídas","Velocidad","Atención humana","5","Mal soporte ante un problema","Scotiabank","Mala experiencia con mi banco actual","Atención personalizada","5"
"2026/05/04 8:24:33 p.m. GMT-6","41-55","$10,000MXN–$20,000MXN","1","No","Banca tradicional","Ninguno","Ninguna","No","Na","Rápidez","3","Difícil encontrar funciones;Login o autenticación","Seguridad (biometría, alertas)","Atención humana","3","Mal soporte ante un problema","Scotiabank","Mejor atención","Puntos canjeables","5"
"2026/05/04 8:26:34 p.m. GMT-6","26-40","$10,000MXN–$20,000MXN","1","No","Banca tradicional","Ninguno","Ninguna","No",".","Recompensas","1","Errores o caídas","Velocidad;Diseño y facilidad de uso","Atención humana","3","No he tenido ningún problema","BBVA","Comisiones más bajas","Puntos canjeables","1"
"2026/05/04 8:29:04 p.m. GMT-6","26-40","Más de $50,000MXN","4 o más","Si","Fintechs","Nu (Nu Bank)","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Inversiones y cuentas de ahorro con bancos tradicionales. Para lo demas fintech","Comisiones bajas","2","Procesos con muchos pasos","Velocidad","Depende del tipo de problema","3","Fraude o cargo no autorizado","American express","Comisiones más bajas;Mejor app;Recompensas más atractivas;Mejores tasas","Puntos canjeables;Beneficios de viaje;Sin comisiones","2"
"2026/05/04 8:29:29 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Ambos","Nu (Nu Bank);Hey Banco;Mercado pago","Regulación o respaldo institucional (IPAB)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","NA","Comisiones bajas","3","Tiempos de carga;Procesos con muchos pasos;Errores o caídas;Login o autenticación","Funciones disponibles;Recompensas o cashback","Atención humana","3","Fraude o cargo no autorizado","Banco Azteca","Comisiones más bajas;Mejores tasas","Cashback;Beneficios de viaje;Sin comisiones","2"
"2026/05/04 8:43:44 p.m. GMT-6","26-40","Menos de $10,000 MXN","2","No","Banca tradicional","Kueski Pay;Revolut","Regulación o respaldo institucional (IPAB)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","En Fintechs suelo congelar mi dinero para poder hacerlo crecer, el banco tradicional lo uso principalmente para recibir dinero y poder pagar servicios","Recompensas","1","Difícil encontrar funciones","Seguridad (biometría, alertas)","Depende del tipo de problema","3","No he tenido ningún problema","BBVA","Recompensas más atractivas;Mejores tasas","Ninguno","5"
"2026/05/04 8:54:01 p.m. GMT-6","56+","Prefiero no decir","1","Si","Banca tradicional","Ninguno","Seguridad de mi dinero","No","Na","Atención al cliente","1","Nada me frustró","Nada en particular","Depende del tipo de problema","4","No he tenido ningún problema","Inbursa","Mejor atención","Ninguno","4"
"2026/05/04 8:59:24 p.m. GMT-6","56+","Más de $50,000MXN","3","No","Banca tradicional","Ninguno","Ninguna","No","Na","Confianza institucional","1","Nada me frustró","Diseño y facilidad de uso","Atención humana","3","Fraude o cargo no autorizado","Santander","Mejor atención","Tasas de rendimiento","1"
"2026/05/04 9:02:35 p.m. GMT-6","41-55","Menos de $10,000 MXN","2","No","Banca tradicional","Ninguno","NA","No","NA","NA","1","Nada me frustró","Seguridad (biometría, alertas)","Depende del tipo de problema","3","No he tenido ningún problema","BBVA","Mala experiencia con mi banco actual","Ninguno","5"
"2026/05/04 9:02:49 p.m. GMT-6","18-25","Más de $50,000MXN","4 o más","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero","No","NA","Atención al cliente","3","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","4","No he tenido ningún problema","BBVA","Mala experiencia con mi banco actual","Puntos canjeables","4"
"2026/05/04 9:12:50 p.m. GMT-6","41-55","Más de $50,000MXN","2","Si","Banca tradicional","Ninguno","Seguridad de mi dinero;Riesgo tecnológico (caídas, hackeos)","No","ÑA","Rápidez","2","Difícil encontrar funciones","Velocidad;Seguridad (biometría, alertas)","Atención humana","3","Fraude o cargo no autorizado","BBVA","Mejores tasas;Mala experiencia con mi banco actual","Ninguno","2"
"2026/05/04 9:22:30 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","Si","Ambos","Revolut","Seguridad de mi dinero","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Inversión con rentabilidad fija / depósitos y transferencias ","Recompensas","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Seguridad (biometría, alertas)","Atención humana","5","No he tenido ningún problema","BBVA","Recompensas más atractivas;Mejores tasas","Puntos canjeables;Descuentos en comercios;Tasas de rendimiento","5"
"2026/05/04 9:23:18 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Mercado pago;BBVA","Ninguna","No","NA","Confianza institucional","1","Errores o caídas;Login o autenticación","Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","5","Fraude o cargo no autorizado","BBVA","Mejor atención;Recompensas más atractivas","Cashback","5"
"2026/05/04 9:28:11 p.m. GMT-6","56+","Más de $50,000MXN","3","Si","Ambos","Mercado pago","Ninguna","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Pagos e inversiones ","Comisiones bajas","1","Errores o caídas;Nada me frustró","Velocidad;Diseño y facilidad de uso","Depende del tipo de problema","5","No he tenido ningún problema","BBVA","Mejores tasas","Cashback;Beneficios de viaje;Tasas de rendimiento","1"
"2026/05/04 9:30:54 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Nu (Nu Bank)","Falta de sucursales físicas;Soporte limitado;Riesgo tecnológico (caídas, hackeos)","No","NA","Experiencia","1","Procesos con muchos pasos;Difícil encontrar funciones","Velocidad;Diseño y facilidad de uso","Atención humana","5","Fraude o cargo no autorizado","BBVA","Mejor app;Mejor atención;Mala experiencia con mi banco actual","Cashback","5"
"2026/05/04 9:40:37 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","Si","Ambos","Nu (Nu Bank)","Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","NA","Comisiones bajas","3","Errores o caídas;Login o autenticación;Soporte difícil de contactar","Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","5","No he tenido ningún problema","Scotiabank","Mejor app;Mejor atención;Recomendación cercana;Mala experiencia con mi banco actual","Ninguno","5"
"2026/05/05 12:10:39 a.m. GMT-6","18-25","$10,000MXN–$20,000MXN","4 o más","Si","Ambos","Nu (Nu Bank);Mercado pago;ARQ","Seguridad de mi dinero;Soporte limitado;Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Fondo de inversión ","Recompensas","4","Errores o caídas","Diseño y facilidad de uso;Funciones disponibles;Seguridad (biometría, alertas)","Atención humana","5","Phishing","BBVA","Recompensas más atractivas;Mejores tasas;Mala experiencia con mi banco actual","Puntos canjeables","5"
"2026/05/05 12:16:26 a.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Ambos","Spin by Oxxo","Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Recompensas","1","Tiempos de carga;Procesos con muchos pasos;Login o autenticación","Velocidad;Diseño y facilidad de uso;Seguridad (biometría, alertas)","Atención humana","3","No he tenido ningún problema","BBVA","Comisiones más bajas;Mejor app;Mejor atención;Recompensas más atractivas;Recomendación cercana;Mejores tasas","Cashback;Puntos canjeables;Descuentos en comercios","4"
"2026/05/05 2:38:05 a.m. GMT-6","56+","Más de $50,000MXN","3","No","Banca tradicional","Ninguno","Ninguna","No","NA","Solo he utilizado bancos","1","Nada me frustró","Velocidad;Diseño y facilidad de uso;Funciones disponibles;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","4","Fuga o uso indebido de datos","Banorte","Mala experiencia con mi banco actual","Acceso anticipado a productos;Beneficios de viaje;Tasas de rendimiento","4"
"2026/05/05 3:32:45 a.m. GMT-6","41-55","Más de $50,000MXN","2","No","Banca tradicional","Ninguno","Ninguna","No","No","Experiencia","1","Nada me frustró","Velocidad;Diseño y facilidad de uso","Depende del tipo de problema","5","No he tenido ningún problema","Banorte","Comisiones más bajas","Puntos canjeables;Sin comisiones","1"
"2026/05/05 7:09:37 a.m. GMT-6","56+","Más de $50,000MXN","3","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","No me interesan","No","Na","No uso fintechs","2","Nada me frustró","Nada en particular","Atención humana","3","Fraude o cargo no autorizado","Inbursa","Mejores tasas","Beneficios de viaje;Sin comisiones;Tasas de rendimiento","3"
"2026/05/05 8:54:25 a.m. GMT-6","56+","Prefiero no decir","2","Si","Banca tradicional","Ninguno","Ninguna","No","Na","Confianza institucional","2","Difícil encontrar funciones","Velocidad","Atención humana","2","App o web insegura","BBVA","Mejores tasas","Cashback","5"
"2026/05/05 11:53:00 a.m. GMT-6","18-25","$10,000MXN–$20,000MXN","2","Si","Ambos","Nu (Nu Bank)","Seguridad de mi dinero;Falta de sucursales físicas;Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Inversión ","Confianza institucional","1","Procesos con muchos pasos;Difícil encontrar funciones","Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","5","No he tenido ningún problema","BBVA","Comisiones más bajas;Mejor app;Recompensas más atractivas;Mejores tasas","Sin comisiones;Tasas de rendimiento","5"
"2026/05/05 12:02:58 p.m. GMT-6","18-25","Prefiero no decir","1","Si","Banca tradicional","Ninguno","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Rápidez","2","Tiempos de carga;Errores o caídas","Velocidad;Funciones disponibles;Seguridad (biometría, alertas)","Depende del tipo de problema","2","App o web insegura","Banorte","Comisiones más bajas;Mejor app;Mejor atención;Mejores tasas;Mala experiencia con mi banco actual","Cashback;Puntos canjeables;Descuentos en comercios","3"
"2026/05/05 12:04:20 p.m. GMT-6","18-25","Menos de $10,000 MXN","3","Si","Ambos","Nu (Nu Bank)","Soporte limitado;Riesgo tecnológico (caídas, hackeos)","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Fintechs como cajitas de inversión y bancos para dinero que puedo gastar","Rápidez","1","Tiempos de carga;Procesos con muchos pasos;Difícil encontrar funciones","Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","3","No he tenido ningún problema","BBVA","Comisiones más bajas;Mejor app;Mejor atención;Recompensas más atractivas;Recomendación cercana;Mejores tasas","Ninguno","4"
"2026/05/05 12:08:19 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","No","Banca tradicional","Ninguno","Ninguna","No","NA","NA","2","Errores o caídas","Velocidad","Atención humana","5","No he tenido ningún problema","BW Bank","Mejor ubicación de cajeros","Sin comisiones","5"
"2026/05/05 12:09:23 p.m. GMT-6","26-40","$20,000MXN–$50,000MXN","3","He escuchado el término pero no estoy seguro","Banca tradicional","Nu (Nu Bank);Mercado pago","Soporte limitado","Tengo usos diferentes para Fintechs y Bancos Tradicionales","Con los bancos tradicionales muevo mi nómina al ser instituciones financieras de “mayor renombre” tengo más confianza de dejar mi dinero en esas entidades mientras que Nu y mercado lo uso para hacer diversas compras en linea por la facilidad de pago","Confianza institucional","1","Tiempos de carga;Procesos con muchos pasos;La modificación de la app bbva para mi fue una caída al estilo fácil y minimalista de su software siendo algo más caótico y complicado de entender ","Funciones disponibles;Seguridad (biometría, alertas)","Depende del tipo de problema","4","Fuga o uso indebido de datos","BBVA","Comisiones más bajas;Mejor app;Mejor atención;Recompensas más atractivas;Mala experiencia con mi banco actual","Historial bancario y previamente su anterior app","5"
"2026/05/05 12:10:00 p.m. GMT-6","56+","Más de $50,000MXN","4 o más","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Seguridad de mi dinero;Falta de sucursales físicas;Regulación o respaldo institucional (IPAB)","No","NA","Confianza institucional","1","Login o autenticación","Diseño y facilidad de uso;Notificaciones útiles;Seguridad (biometría, alertas)","Atención humana","4","Fraude o cargo no autorizado","BBVA","Mala experiencia con mi banco actual","Cashback;Puntos canjeables;Sin comisiones","5"
"2026/05/05 12:10:15 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Ninguna","No","NA","NA","1","Tiempos de carga;Procesos con muchos pasos","Diseño y facilidad de uso;Funciones disponibles;Seguridad (biometría, alertas)","Atención humana","4","Fraude o cargo no autorizado","Banamex","Recompensas más atractivas;Mejores tasas","Beneficios de viaje;Sin comisiones","5"
"2026/05/05 12:14:43 p.m. GMT-6","56+","$20,000MXN–$50,000MXN","4 o más","Si","Banca tradicional","Ninguno","Seguridad de mi dinero","No","NA","Recompensas","2","Procesos con muchos pasos","Seguridad (biometría, alertas)","Atención humana","5","No he tenido ningún problema","BBVA","Mejores tasas","Puntos canjeables;Tasas de rendimiento","1"
"2026/05/05 12:17:57 p.m. GMT-6","56+","Más de $50,000MXN","2","Si","Banca tradicional","Ninguno","Ninguna","No","NA","NA ","1","Nada me frustró","Diseño y facilidad de uso","Atención humana","5","Fuga o uso indebido de datos","Banamex","Mejor atención","Acceso anticipado a productos;Beneficios de viaje","5"
"2026/05/05 12:18:03 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","No","Banca tradicional","Spin by Oxxo","Seguridad de mi dinero;Falta de sucursales físicas;Soporte limitado;Regulación o respaldo institucional (IPAB);Riesgo tecnológico (caídas, hackeos)","No","NA","Confianza institucional","3","Errores o caídas;Difícil encontrar funciones;Login o autenticación","Velocidad;Funciones disponibles;Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","BBVA","Comisiones más bajas;Mejor app;Mejor atención;Recompensas más atractivas;Recomendación cercana;Mejores tasas;Mala experiencia con mi banco actual","Ninguno","5"
"2026/05/05 12:20:25 p.m. GMT-6","18-25","Menos de $10,000 MXN","2","He escuchado el término pero no estoy seguro","Banca tradicional","Ninguno","Ninguna","No","Na","No use ","1","Tiempos de carga;Errores o caídas","Diseño y facilidad de uso;Funciones disponibles;Seguridad (biometría, alertas);Recompensas o cashback","Atención humana","3","No he tenido ningún problema","Santander","Mejores tasas","Cashback;Puntos canjeables;Tasas de rendimiento","4"
"2026/05/05 12:21:22 p.m. GMT-6","18-25","Menos de $10,000 MXN","3","Si","Ambos","Mercado pago","Seguridad de mi dinero;Soporte limitado;Riesgo tecnológico (caídas, hackeos)","No","NA","Tasas de interés ","2","Procesos con muchos pasos;Difícil encontrar funciones","Funciones disponibles;Seguridad (biometría, alertas)","Atención humana","4","No he tenido ningún problema","Banamex","Comisiones más bajas;Recompensas más atractivas;Mejores tasas","Cashback;Descuentos en comercios;Tasas de rendimiento","5"
"2026/05/05 12:26:20 p.m. GMT-6","18-25","$10,000MXN–$20,000MXN","1","No","Banca tradicional","Ninguno","Riesgo tecnológico (caídas, hackeos)","No","NA","Recompensas","2","Procesos con muchos pasos;Difícil encontrar funciones","Funciones disponibles;Recompensas o cashback","Depende del tipo de problema","5","No he tenido ningún problema","Santander","Recompensas más atractivas;Mala experiencia con mi banco actual","Cashback;Tasas de rendimiento","5"
"2026/05/05 12:27:00 p.m. GMT-6","18-25","Menos de $10,000 MXN","1","He escuchado el término pero no estoy seguro","Banca tradicional","Spin by Oxxo","Ninguna","No","NA","Accesibilidad","1","Nada me frustró","Diseño y facilidad de uso","Depende del tipo de problema","3","No he tenido ningún problema","Scotiabank","Mejores créditos ","Tasas de rendimiento","5"
